COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0001	22	17	1	Bacteria(1.0)	Firmicutes(0.99)	Clostridia(0.84)	Clostridiales(0.64)	Catabacteriaceae(0.18)	Catabacter(0.18)
COTU-TEST-0002	16	27	1	Bacteria(1.0)	Firmicutes(1.0)	Erysipelotrichia(1.0)	Erysipelotrichales(1.0)	Erysipelotrichaceae(1.0)	Allobaculum(0.73)
COTU-TEST-0003	2	6	1	Bacteria(1.0)	Firmicutes(1.0)	Erysipelotrichia(1.0)	Erysipelotrichales(1.0)	Erysipelotrichaceae(1.0)	Erysipelotrichaceae_incertae_sedis(0.78)
COTU-TEST-0004	0	6	1	Bacteria(1.0)	Firmicutes(1.0)	Erysipelotrichia(1.0)	Erysipelotrichales(1.0)	Erysipelotrichaceae(1.0)	Erysipelotrichaceae_incertae_sedis(0.96)
COTU-TEST-0005	40	72	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.33)
COTU-TEST-0006	88	205	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.98)	Barnesiella(0.33)
COTU-TEST-0007	14	27	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.31)
COTU-TEST-0008	58	129	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.31)
COTU-TEST-0009	12	21	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Tannerella(0.34)
COTU-TEST-0010	8	12	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.97)	Barnesiella(0.81)
COTU-TEST-0011	53	127	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.52)
COTU-TEST-0012	19	19	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.98)	Barnesiella(0.78)
COTU-TEST-0013	13	9	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.98)	Barnesiella(0.86)
COTU-TEST-0014	6	36	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(0.99)	Bacteroidales(0.99)	Porphyromonadaceae(0.99)	Barnesiella(0.28)
COTU-TEST-0015	117	159	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.48)
COTU-TEST-0016	336	466	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.51)
COTU-TEST-0017	14	8	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.49)
COTU-TEST-0018	19	52	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.6)
COTU-TEST-0019	9	25	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.99)	Barnesiella(0.59)
COTU-TEST-0020	29	38	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.46)
COTU-TEST-0021	17	27	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Tannerella(0.22)
COTU-TEST-0022	8	14	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Tannerella(0.22)
COTU-TEST-0023	9	5	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Tannerella(0.22)
COTU-TEST-0024	71	99	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.39)
COTU-TEST-0025	137	200	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Coprobacter(0.35)
COTU-TEST-0026	55	80	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(1.0)	Barnesiella(0.4)
COTU-TEST-0027	8	9	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Prevotellaceae(0.99)	Prevotella(0.97)
COTU-TEST-0028	84	153	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Porphyromonadaceae(0.97)	Barnesiella(0.75)
